Table 1
שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2024,סך הכל ישראלים 2024,יהודים ואחרים,ערבים,זרים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,שם אשכול רשויות מקומיות,סמל רשות מקומית,שם רשות מקומית,סמל סוג רשות מקומית
אום אל-קוטוף,2024,UMM AL-QUTUF,3,חיפה,32,חדרה,323,14,מועצה אזורית מנשה,,2,"1,259","1,259",1,"1,258",,,450,,205537708358,140,351,10004233,2024,Umm Al-Qutuf,אשכול רשויות מישור החוף,5514,מנשה,3
אום בטין,1358,UMM BATIN,6,הדרום,62,באר שבע,623,69,מועצה אזורית אל קסום,342,2,"5,572","5,571",16,"5,555",1,,280,,188677576565,329,624,10001937,2024,Umm Batin,אשכול רשויות נגב מזרחי,5569,אל קסום,3
אומן,1108,OMEN,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,955,955,949,6,,1958,350,,223035718793,65,204,10004394,2024,Omen,אשכול רשויות הגליל והעמקים,5508,הגלבוע,3
אומץ,680,OMEZ,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,141,1,802,735,734,1,67,1949,310,1,199676697443,33,409,15000060,2024,Omez,ללא שיוך לאשכול,5516,עמק חפר,3
אופקים,31,OFAQIM,6,הדרום,62,באר שבע,622,0,עירייה,,1,"39,894","39,168","38,742",426,726,1955,160,,163896579571,142,601,10001893,2024,Ofaqim,אשכול רשויות נגב מערבי,31,אופקים,1
אור הגנוז,1294,OR HAGANUZ,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,705,705,705,,,1989,320,11,242122767835,732,209,10004528,2024,Or HaGanuz,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
אור הנר,67,OR HANER,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,"1,048","1,009","1,009",,39,1957,330,15,162056607367,53,651,10001829,2024,Or HaNer,אשכול רשויות נגב מערבי,5537,שער הנגב,3
אור יהודה,2400,OR YEHUDA,5,תל אביב,52,תל אביב,512,0,עירייה,122,1,"41,130","39,060","38,933",127,"2,070",1950,160,,186342659652,31,510,10001516,2024,Or Yehuda,ללא שיוך לאשכול,2400,אור יהודה,1
אור עקיבא,1020,OR AQIVA,3,חיפה,32,חדרה,324,0,עירייה,,1,"25,922","25,271","25,108",163,651,1951,160,,192712712661,15,353,10004261,2024,Or Aqiva,ללא שיוך לאשכול,1020,אור עקיבא,1
אורה,780,ORA,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,"1,428","1,418","1,399",19,10,1950,310,1,214586629042,800,151,10002521,2024,Ora,ללא שיוך לאשכול,5526,מטה יהודה,3
אורון,1771,,6,הדרום,62,באר שבע,626,48,מועצה אזורית רמת נגב,,,,,,,,,520,,201447535576,356,620,10001918,2024,,אשכול רשויות נגב מזרחי,5548,רמת נגב,3
אורות,2012,OROT,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,553,516,516,,37,1952,310,1,174927627827,50,616,10001821,2024,Orot,אשכול רשויות שורק דרומי,5533,באר טוביה,3
אורטל,4013,ORTAL,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,1,374,341,341,,33,1978,330,15,271203776993,885,224,10004579,2024,Ortal,אשכול רשויות גליל מזרחי,5571,גולן,3
אורים,403,URIM,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,454,415,414,1,39,1946,330,15,154547579366,94,651,10001893,2024,Urim,אשכול רשויות נגב מערבי,5538,אשכול,3
אורנים,882,ORANIM,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,106,106,84,22,,1951,340,,210508735286,75,301,10004207,2024,Oranim,אשכול רשויות המפרץ,5512,זבולון,3
אורנית,3760,ORANIT,7,אזור יהודה ושומרון,73,טול כרם,,99,מועצה מקומית,145,1,"10,088","10,044","10,022",22,44,1985,170,,199541670871,125,718,15004488,2024,Oranit,אשכול יהודה ושומרון,3760,אורנית,2
אושה,278,USHA,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,222,1,611,598,598,,13,1937,330,15,211043744622,31,301,10004207,2024,Usha,אשכול רשויות המפרץ,5512,זבולון,3
אזור,565,AZOR,5,תל אביב,53,תל אביב,513,99,מועצה מקומית,123,1,"13,067","12,641","12,589",52,426,1948,170,,181944658997,26,509,15005645,2024,Azor,ללא שיוך לאשכול,565,אזור,2
"אזור אילון מ""א 4",1852,,2,הצפון,24,עכו,244,4,מועצה אזורית מטה אשר,,,,,,,,,530,,2196077510,,,,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
"אזור אילון מ""א 52",1851,,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,,,,,,,,530,,2266077360,,,,2024,,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
"אזור אילון של""ש",1853,,2,הצפון,24,עכו,244,,חסר מעמד מוניציפלי,,,,,,,,,530,,2314076950,,,,2024,,ללא שיוך לאשכול,,,4
"אזור אשדוד מ""א 29",1922,,6,הדרום,61,אשקלון,613,29,מועצה אזורית חבל יבנה,,,,,,,,,530,,1726063970,,,,2024,,אשכול רשויות שורק דרומי,5529,חבל יבנה,3
"אזור אשדוד מ""א 33",1921,,6,הדרום,61,אשקלון,613,33,מועצה אזורית באר טוביה,,,,,,,,,530,,1649062930,,,,2024,,אשכול רשויות שורק דרומי,5533,באר טוביה,3
"אזור אשדוד של""ש",1923,,6,הדרום,61,אשקלון,613,,חסר מעמד מוניציפלי,,,,,,,,,530,,1681064050,,,,2024,,ללא שיוך לאשכול,,,4
"אזור אשקלון מ""א 36",1924,,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,,,,,,,,530,,1663061620,,,,2024,,אשכול רשויות נגב מערבי,5536,חוף אשקלון,3
"אזור אשקלון מ""א 37",1926,,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,,,,,,,,530,,1637060210,,,,2024,,אשכול רשויות נגב מערבי,5537,שער הנגב,3
"אזור באר שבע מ""א 41",1937,,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,,,,,,,,,530,,1807058120,,,,2024,,אשכול רשויות נגב מערבי,5541,בני שמעון,3
"אזור באר שבע מ""א 51",1938,,6,הדרום,62,באר שבע,623,51,מועצה אזורית תמר,,,,,,,,,530,,2240057100,,,,2024,,ללא שיוך לאשכול,5551,תמר,3
"אזור באר שבע של""ש",1939,,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,,,,,,,,530,,1974056740,,,,2024,,ללא שיוך לאשכול,,,4
"אזור בשור מ""א 38",1933,,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,,,,,,,,530,,1457057060,,,,2024,,אשכול רשויות נגב מערבי,5538,אשכול,3
"אזור בשור מ""א 39",1935,,6,הדרום,62,באר שבע,622,39,מועצה אזורית שדות נגב,,,,,,,,,530,,1505059540,,,,2024,,אשכול רשויות נגב מערבי,5539,שדות נגב,3
"אזור בשור מ""א 42",1934,,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,,,,,,,,,530,,1608057600,,,,2024,,אשכול רשויות נגב מערבי,5542,מרחבים,3
"אזור גלילות מ""א 19",1907,,5,תל אביב,51,תל אביב,511,19,מועצה אזורית חוף השרון,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,5519,חוף השרון,3
"אזור גרר מ""א 39",1931,,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,,,,,,,,530,,1572058820,,,,2024,,אשכול רשויות נגב מערבי,5539,שדות נגב,3
"אזור גרר מ""א 41",1929,,6,הדרום,62,באר שבע,621,41,מועצה אזורית בני שמעון,,,,,,,,,530,,1725058920,,,,2024,,אשכול רשויות נגב מערבי,5541,בני שמעון,3
"אזור גרר מ""א 42",1930,,6,הדרום,62,באר שבע,621,42,מועצה אזורית מרחבים,,,,,,,,,530,,1679059410,,,,2024,,אשכול רשויות נגב מערבי,5542,מרחבים,3
"אזור זכרון יעקב מ""א 15",1866,,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,,,,,,,,,530,,2001072840,,,,2024,,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
"אזור זכרון יעקב של""ש",1867,,3,חיפה,32,חדרה,322,,חסר מעמד מוניציפלי,,,,,,,,,530,,2040072880,,,,2024,,ללא שיוך לאשכול,,,4
"אזור חדרה מ""א 14",1873,,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,,,,,,,,530,,2012070620,,,,2024,,אשכול רשויות מישור החוף,5514,מנשה,3
"אזור חדרה מ""א 15",1872,,3,חיפה,32,חדרה,324,15,מועצה אזורית חוף הכרמל,,,,,,,,,530,,1932070920,,,,2024,,אשכול רשויות מישור החוף,5515,חוף הכרמל,3
"אזור חדרה מ""א 45",1871,,3,חיפה,32,חדרה,324,45,מועצה אזורית אלונה,,,,,,,,,530,,1999071630,,,,2024,,אשכול רשויות מישור החוף,5545,אלונה,3
"אזור חדרה של""ש",1874,,3,חיפה,32,חדרה,324,,חסר מעמד מוניציפלי,,,,,,,,,530,,2029069980,,,,2024,,ללא שיוך לאשכול,,,4
"אזור חולון של""ש",1909,,5,תל אביב,53,תל אביב,513,,חסר מעמד מוניציפלי,,,,,,,,,530,,1817066000,,,,2024,,ללא שיוך לאשכול,,,4
"אזור חיפה מ""א 12",1860,,3,חיפה,31,חיפה,311,12,מועצה אזורית זבולון,,,,,,,,,530,,2104074200,,,,2024,,אשכול רשויות המפרץ,5512,זבולון,3
"אזור חיפה של""ש",1862,,3,חיפה,31,חיפה,311,,חסר מעמד מוניציפלי,,,,,,,,,530,,2088073220,,,,2024,,ללא שיוך לאשכול,,,4
"אזור חצור מ""א 1",1813,,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,,,,,,,,530,,2545075990,,,,2024,,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
"אזור חצור מ""א 55",1814,,2,הצפון,21,צפת,213,55,מועצה אזורית מבואות החרמון,,,,,,,,,530,,2584076640,,,,2024,,אשכול רשויות גליל מזרחי,5555,מבואות החרמון,3
"אזור חצור של""ש",1815,,2,הצפון,21,צפת,213,,חסר מעמד מוניציפלי,,,,,,,,,530,,2549076740,,,,2024,,ללא שיוך לאשכול,,,4
"אזור יחיעם מ""א 2",1848,,2,הצפון,24,עכו,243,2,מועצה אזורית מרום הגליל,,,,,,,,,530,,2386075990,,,,2024,,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
"אזור יחיעם מ""א 4",1846,,2,הצפון,24,עכו,243,4,מועצה אזורית מטה אשר,,,,,,,,,530,,2180076770,,,,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
"אזור יחיעם מ""א 52",1847,,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,,,,,,,,530,,2283076610,,,,2024,,אשכול רשויות גליל מערבי,5552,מעלה יוסף,3
"אזור יחיעם מ""א 56",1849,,2,הצפון,24,עכו,243,56,מועצה אזורית משגב,,,,,,,,,530,,2214075970,,,,2024,,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
"אזור יחיעם של""ש",1850,,2,הצפון,24,עכו,243,,חסר מעמד מוניציפלי,,,,,,,,,530,,2325076540,,,,2024,,ללא שיוך לאשכול,,,4
"אזור ים המלח מ""א 51",1942,,6,הדרום,62,באר שבע,624,51,מועצה אזורית תמר,,,,,,,,,530,,2340056200,,,,2024,,ללא שיוך לאשכול,5551,תמר,3
"אזור יקנעם מ""א 13",1836,,2,הצפון,23,יזרעאל,235,13,מועצה אזורית מגידו,,,,,,,,,530,,2121072800,,,,2024,,אשכול רשויות הגליל והעמקים,5513,מגידו,3
"אזור יקנעם מ""א 9",1835,,2,הצפון,23,יזרעאל,235,9,מועצה אזורית עמק יזרעאל,,,,,,,,,530,,2115073310,,,,2024,,אשכול רשויות הגליל והעמקים,5509,עמק יזרעאל,3
"אזור כינרות מ""א 3",1805,,2,הצפון,22,כנרת,221,3,מועצה אזורית הגליל התחתון,,,,,,,,,530,,2481074680,,,,2024,,אשכול רשויות הכנרת והעמקים,5503,הגליל התחתון,3
"אזור כנרות מ""א 1",1816,,2,הצפון,22,כנרת,221,1,מועצה אזורית הגליל העליון,,,,,,,,,530,,2528075660,,,,2024,,אשכול רשויות גליל מזרחי,5501,הגליל העליון,3
"אזור כנרות מ""א 6",1817,,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,,,,,,,,530,,2610074110,,,,2024,,אשכול רשויות הכנרת והעמקים,5506,עמק הירדן,3
"אזור כנרות של""ש",1818,,2,הצפון,22,כנרת,221,,חסר מעמד מוניציפלי,,,,,,,,,530,,,,,,2024,,ללא שיוך לאשכול,,,4
"אזור כרמיאל מ""א 2",1843,,2,הצפון,24,עכו,242,2,מועצה אזורית מרום הגליל,,,,,,,,,530,,2339075980,,,,2024,,אשכול רשויות גליל מזרחי,5502,מרום הגליל,3
"אזור כרמיאל מ""א 56",1844,,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,,,,,,,,,530,,2327075530,,,,2024,,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
"אזור כרמיאל של""ש",1845,,2,הצפון,24,עכו,242,,חסר מעמד מוניציפלי,,,,,,,,,530,,2369075930,,,,2024,,ללא שיוך לאשכול,,,4
"אזור לכיש מ""א 34",1919,,6,הדרום,61,אשקלון,612,34,מועצה אזורית שפיר,,,,,,,,,530,,1769061100,,,,2024,,ללא שיוך לאשכול,5534,שפיר,3
"אזור לכיש מ""א 35",1917,,6,הדרום,61,אשקלון,612,35,מועצה אזורית יואב,,,,,,,,,530,,1870061370,,,,2024,,אשכול רשויות שורק דרומי,5535,יואב,3
"אזור לכיש מ""א 41",1920,,6,הדרום,61,אשקלון,612,41,מועצה אזורית בני שמעון,,,,,,,,,530,,1888059260,,,,2024,,אשכול רשויות נגב מערבי,5541,בני שמעון,3
"אזור לכיש מ""א 50",1918,,6,הדרום,61,אשקלון,612,50,מועצה אזורית לכיש,,,,,,,,,530,,1836060440,,,,2024,,ללא שיוך לאשכול,5550,לכיש,3
"אזור מודיעין מ""א 25",1887,,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,,,,,,,,,530,,2311074610,,,,2024,,ללא שיוך לאשכול,5525,חבל מודיעין,3
"אזור מודיעין מ""א 30",1890,,4,המרכז,43,רמלה,431,30,מועצה אזורית גזר,,,,,,,,,530,,2010069770,,,,2024,,ללא שיוך לאשכול,5530,גזר,3
"אזור מודיעין של""ש",1895,,4,המרכז,43,רמלה,431,,חסר מעמד מוניציפלי,,,,,,,,,530,,1833067310,,,,2024,,ללא שיוך לאשכול,,,4
"אזור מלאכי מ""א 33",1911,,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,,,,,,,,,530,,1755063200,,,,2024,,אשכול רשויות שורק דרומי,5533,באר טוביה,3
"אזור מלאכי מ""א 34",1915,,6,הדרום,61,אשקלון,611,34,מועצה אזורית שפיר,,,,,,,,,530,,1766062160,,,,2024,,ללא שיוך לאשכול,5534,שפיר,3
"אזור מלאכי מ""א 35",1913,,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,,,,,,,,530,,1816062200,,,,2024,,אשכול רשויות שורק דרומי,5535,יואב,3
"אזור מלאכי מ""א 50",1914,,6,הדרום,61,אשקלון,611,50,מועצה אזורית לכיש,,,,,,,,,530,,1780061800,,,,2024,,ללא שיוך לאשכול,5550,לכיש,3
"אזור נהרייה מ""א 4",1855,,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,,,,,,,,,530,,2125076910,,,,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
"אזור נהרייה של""ש",1856,,2,הצפון,24,עכו,245,,חסר מעמד מוניציפלי,,,,,,,,,530,,2131076190,,,,2024,,ללא שיוך לאשכול,,,4
"אזור עכו מ""א 4",1858,,2,הצפון,24,עכו,246,4,מועצה אזורית מטה אשר,,,,,,,,,530,,2128075480,,,,2024,,אשכול רשויות גליל מערבי,5504,מטה אשר,3
"אזור עכו מ""א 56",1857,,2,הצפון,24,עכו,246,56,מועצה אזורית משגב,,,,,,,,,530,,2128075670,,,,2024,,אשכול רשויות בית הכרם הגלילי,5556,משגב,3
"אזור עכו של""ש",1859,,2,הצפון,24,עכו,246,,חסר מעמד מוניציפלי,,,,,,,,,530,,2127075860,,,,2024,,ללא שיוך לאשכול,,,4
"אזור פתח תקווה מ""א 20",1888,,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,,,,,,,,,530,,1933066570,,,,2024,,אשכול רשויות השרון,5520,דרום השרון,3
"אזור פתח תקווה מ""א 25",1886,,4,המרכז,42,פתח תקווה,422,25,מועצה אזורית חבל מודיעין,,,,,,,,,530,,1984065740,,,,2024,,ללא שיוך לאשכול,5525,חבל מודיעין,3
"אזור פתח תקווה של""ש",1889,,4,המרכז,42,פתח תקווה,422,,חסר מעמד מוניציפלי,,,,,,,,,530,,1921066200,,,,2024,,ללא שיוך לאשכול,,,4
"אזור ראשל""צ מ""א 27",1903,,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,,,,,,,,,530,,1753064760,,,,2024,,ללא שיוך לאשכול,5527,גן רווה,3
"אזור ראשל""צ של""ש",1904,,4,המרכז,44,רחובות,442,,חסר מעמד מוניציפלי,,,,,,,,,530,,1755065150,,,,2024,,ללא שיוך לאשכול,,,4
"אזור רחובות מ""א 28",1896,,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,,,,,,,,,530,,1803064000,,,,2024,,אשכול רשויות שורק דרומי,5528,ברנר,3
"אזור רחובות מ""א 29",1899,,4,המרכז,44,רחובות,441,29,מועצה אזורית חבל יבנה,,,,,,,,,530,,1721063800,,,,2024,,אשכול רשויות שורק דרומי,5529,חבל יבנה,3
